employee_number,age,tenure,turnover,hourly_rate,hours_weekly,compensation_type,annual_salary,driving_commuter_distance,job_role_area,gender,marital_status,num_companies_previously_worked,annual_professonal_dev_hrs,pay_check_method,text_message_optin,commute_distance_category
5336,41,2,No,70.68,40,Salary,147014.4,81.0,Research,Female,Married,8,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5337,50,9,No,42.12,40,Salary,87609.6,94.0,Research,Female,Single,4,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5338,36,7,No,31.28,40,Salary,64854.4,98.0,Research,Male,Single,3,15.0,Direct Deposit,Yes,"(95.09, 190.08]"
5339,41,5,No,56.81,40,Salary,128164.8,60.0,Research,Female,Married,4,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5340,61,11,Yes,33.15,40,Salary,68952.0,2.0,Sales,Female,Divorced,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5341,29,1,No,25.46,40,Salary,52956.8,28.0,Sales,Female,Married,2,16.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5342,37,5,No,41.78,40,Salary,86902.4,35.0,Laboratory,Male,Divorced,5,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5343,36,5,No,64.82,40,Salary,134825.6,64.0,Manufacturing,Female,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5344,43,9,No,42.66,40,Salary,88732.8,36.0,Research,Male,Single,9,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
5345,40,10,Yes,59.27,40,Salary,123281.6,0.1,Manufacturing,Female,Divorced,1,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5346,47,5,No,76.09,40,Salary,158267.2,45.0,Sales,Male,Single,8,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5347,36,2,Yes,79.98,40,Salary,166358.4,0.1,Sales,Female,Single,1,25.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5348,42,4,No,74.28,40,Salary,154502.4,37.0,Information Technology,Female,Divorced,4,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
5349,51,10,No,48.74,40,Salary,101379.2,2.0,Marketing,Female,Single,9,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
5350,32,6,No,26.13,40,Salary,54350.4,61.0,Sales,Female,Married,3,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5351,47,16,No,61.36,40,Salary,127628.8,47.0,Information Technology,Male,Single,5,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
5352,36,7,Yes,56.89,40,Salary,128331.2,5.0,Research,Female,Single,2,7.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5353,39,2,Yes,92.16,40,Salary,331692.8,86.0,Marketing,Female,Divorced,5,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5354,58,6,Yes,88.53,40,Salary,284142.4,36.0,Healthcare,Female,Single,8,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5355,39,5,No,46.83,40,Salary,97406.4,55.0,Healthcare,Female,Divorced,5,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5356,48,7,No,60.26,40,Salary,125340.8,76.0,Information Technology,Female,Married,4,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
5357,55,8,Yes,65.99,40,Salary,137259.2,26.0,Human Resources,Female,Divorced,4,6.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5358,35,5,Yes,24.72,40,Salary,51417.6,22.0,Information Technology,Male,Single,2,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
5359,55,19,No,53.54,40,Salary,111363.2,42.0,Research,Male,Married,8,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5360,29,4,Yes,23.83,40,Salary,49566.4,0.1,Sales,Male,Married,3,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5361,33,2,Yes,28.22,40,Salary,58697.6,0.1,Information Technology,Female,Divorced,5,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5362,51,14,Yes,33.43,40,Salary,69534.4,0.1,Laboratory,Female,Divorced,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5363,40,8,Yes,85.72,40,Salary,178297.6,3.0,Information Technology,Female,Married,8,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5364,51,5,No,63.24,40,Salary,131539.2,52.0,Human Resources,Male,Married,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5365,56,20,Yes,74.8,40,Salary,155584.0,46.0,Information Technology,Male,Divorced,7,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5366,48,12,Yes,33.47,40,Salary,69617.6,92.0,Marketing,Male,Single,6,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
5367,61,12,No,72.98,40,Salary,151798.4,96.0,Laboratory,Female,Divorced,1,11.0,Direct Deposit,Yes,"(95.09, 190.08]"
5368,30,7,No,23.28,40,Salary,48422.4,16.0,Research,Male,Married,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5369,58,17,No,51.92,40,Salary,107993.6,53.0,Laboratory,Female,Divorced,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5370,25,3,No,20.28,40,Salary,43374.4,39.0,Research,Male,Married,3,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5371,35,5,No,25.66,40,Salary,53372.8,0.1,Healthcare,Male,Single,4,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5372,52,6,No,37.87,40,Salary,78769.6,81.0,Information Technology,Male,Divorced,4,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5373,36,2,Yes,41.86,40,Salary,87068.8,98.0,Sales,Female,Single,2,7.0,Mailed Check,Yes,"(95.09, 190.08]"
5374,35,6,Yes,24.8,40,Salary,51584.0,2.0,Marketing,Female,Married,4,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5375,40,3,No,29.56,40,Salary,61484.8,0.1,Marketing,Male,Single,2,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5376,40,2,Yes,31.94,40,Salary,66435.2,20.0,Manufacturing,Female,Single,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5377,44,18,No,35.04,40,Salary,72883.2,24.0,Research,Male,Divorced,9,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5378,35,7,Yes,28.02,40,Salary,58281.6,42.0,Research,Female,Married,5,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
5379,61,19,No,65.13,40,Salary,135470.4,80.0,Human Resources,Female,Married,8,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5380,47,16,No,65.39,40,Salary,136011.2,66.0,Laboratory,Female,Divorced,6,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
5381,32,10,Yes,29.37,40,Salary,63390.4,0.1,Research,Male,Divorced,1,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5382,33,5,Yes,25.87,40,Salary,53809.6,6.0,Information Technology,Male,Single,5,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5383,47,14,No,46.65,40,Salary,97032.0,96.0,Research,Male,Married,4,21.0,Mailed Check,Yes,"(95.09, 190.08]"
5384,39,1,Yes,28.04,40,Salary,58323.2,40.0,Human Resources,Female,Single,9,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5385,41,6,No,40.34,40,Salary,83907.2,48.0,Marketing,Female,Single,6,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
5386,45,10,Yes,32.13,40,Salary,66830.4,79.0,Research,Male,Married,7,19.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5387,60,12,No,61.13,40,Salary,127150.4,0.1,Information Technology,Male,Single,4,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5388,40,9,No,76.81,40,Salary,159764.8,39.0,Sales,Female,Married,9,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5389,50,12,No,94.86,40,Salary,337308.8,43.0,Research,Male,Single,7,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5390,37,4,Yes,85.99,40,Salary,178859.2,68.0,Human Resources,Female,Married,3,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5391,39,8,No,31.28,40,Salary,64854.4,28.0,Research,Male,Married,4,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5392,42,8,No,87.53,40,Salary,282062.4,0.1,Laboratory,Female,Single,3,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5393,44,19,No,31.59,40,Salary,65707.2,95.0,Research,Female,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5394,36,1,Yes,29.76,40,Salary,-15099.2,85.0,Marketing,Female,Single,6,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5395,58,15,Yes,65.21,40,Salary,135636.8,33.0,Sales,Female,Single,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5396,33,6,Yes,24.14,40,Salary,50211.2,0.1,Research,Female,Single,3,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5397,51,9,No,61.36,40,Salary,127628.8,39.0,Healthcare,Male,Married,1,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5398,51,8,No,67.72,40,Salary,140857.6,0.1,Healthcare,Female,Divorced,3,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5399,21,1,No,21.4,40,Salary,44512.0,86.0,Manufacturing,Male,Married,3,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
5400,50,8,No,89.07,40,Salary,285265.6,95.0,Human Resources,Female,Divorced,3,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5401,51,15,Yes,81.9,40,Salary,170352.0,49.0,Human Resources,Female,Divorced,8,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5402,51,17,No,48.1,40,Salary,100048.0,0.1,Manufacturing,Male,Single,7,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5403,42,4,No,51.85,40,Salary,107848.0,59.0,Human Resources,Female,Divorced,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5404,42,1,Yes,47.02,40,Salary,97801.6,36.0,Information Technology,Male,Married,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5405,40,3,Yes,78.69,40,Salary,163675.2,92.0,Research,Female,Divorced,3,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
5406,58,11,No,31.46,40,Salary,65436.8,31.0,Sales,Male,Divorced,1,19.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5407,43,3,No,36.96,40,Salary,76876.8,39.0,Healthcare,Female,Single,2,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5408,34,3,Yes,24.58,40,Salary,51126.4,16.0,Healthcare,Female,Divorced,2,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5409,31,8,No,25.24,40,Salary,52499.2,29.0,Information Technology,Male,Divorced,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5410,61,16,Yes,51.44,40,Salary,106995.2,80.0,Manufacturing,Female,Single,5,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5411,42,6,No,90.77,40,Salary,288801.6,77.0,Laboratory,Male,Single,6,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
5412,36,6,No,65.78,40,Salary,136822.4,76.0,Marketing,Male,Married,2,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5413,52,9,Yes,80.61,40,Salary,167668.8,52.0,Human Resources,Female,Divorced,4,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
5414,32,7,Yes,30.16,40,Salary,62732.8,94.0,Research,Male,Single,3,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5415,43,5,No,80.87,40,Salary,168209.6,32.0,Information Technology,Male,Single,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5416,30,7,No,25.24,40,Salary,52499.2,87.0,Laboratory,Female,Married,1,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5417,45,17,No,44.75,40,Salary,93080.0,42.0,Sales,Male,Married,7,20.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5418,53,18,No,47.02,40,Salary,97801.6,86.0,Sales,Male,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5419,44,20,No,47.62,40,Salary,99049.6,86.0,Sales,Male,Single,3,13.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5420,54,9,Yes,75.59,40,Salary,157227.2,44.0,Research,Female,Divorced,8,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5421,57,9,No,47.4,40,Salary,98592.0,48.0,Laboratory,Male,Married,7,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
5422,37,7,No,57.4,40,Salary,133392.0,50.0,Healthcare,Female,Married,1,13.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5423,34,7,Yes,25.26,40,Salary,52540.8,39.0,Research,Male,Single,5,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
5424,28,1,No,25.65,40,Salary,53352.0,41.0,Manufacturing,Female,Single,1,9.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5425,40,5,No,33.71,40,Salary,70116.8,21.0,Information Technology,Male,Married,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5426,54,12,No,45.94,40,Salary,95555.2,55.0,Research,Male,Divorced,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5427,37,8,Yes,92.98,40,Salary,333398.4,0.1,Research,Female,Divorced,3,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5428,48,8,No,48.55,40,Salary,100984.0,17.0,Information Technology,Female,Divorced,4,8.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5429,49,5,No,67.75,40,Salary,140920.0,24.0,Information Technology,Male,Married,3,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5430,31,5,No,23.96,40,Salary,49836.8,55.0,Laboratory,Female,Married,3,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
5431,39,10,No,62.75,40,Salary,130520.0,0.1,Marketing,Male,Divorced,5,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5432,52,11,Yes,55.88,40,Salary,116230.4,82.0,Research,Female,Married,4,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5433,48,9,Yes,67.08,40,Salary,139526.4,97.0,Sales,Female,Single,4,9.0,Direct Deposit,Yes,"(95.09, 190.08]"
5434,48,7,Yes,32.96,40,Salary,-9643.2,57.0,Marketing,Female,Married,9,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5435,36,10,Yes,81.35,40,Salary,169208.0,0.1,Research,Male,Married,6,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5436,21,1,No,20.98,40,Salary,43638.4,56.0,Information Technology,Male,Single,3,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5437,38,1,No,48.89,40,Salary,101691.2,83.0,Marketing,Female,Divorced,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5438,21,1,No,21.65,40,Salary,4032.0,33.0,Research,Male,Single,2,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
5439,33,10,Yes,25.08,40,Salary,52166.4,53.0,Research,Female,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5440,40,3,No,29.06,40,Salary,60444.8,33.0,Information Technology,Female,Married,8,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
5441,59,11,Yes,65.69,40,Salary,136635.2,26.0,Research,Male,Single,7,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5442,58,20,No,91.33,40,Salary,289966.4,1.0,Information Technology,Female,Single,8,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5443,26,3,No,20.53,40,Salary,42702.4,11.0,Human Resources,Male,Divorced,3,12.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5444,50,12,Yes,80.86,40,Salary,168288.8,0.1,Human Resources,Male,Single,7,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5445,45,13,No,50.26,40,Salary,104540.8,7.0,Human Resources,Male,Married,5,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
5446,59,15,No,84.57,40,Salary,175905.6,6.0,Healthcare,Female,Married,7,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5447,42,4,Yes,81.61,40,Salary,169748.8,52.0,Research,Female,Single,6,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5448,32,6,Yes,29.93,40,Salary,62254.4,40.0,Sales,Male,Divorced,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5449,43,5,No,39.96,40,Salary,83116.8,96.0,Healthcare,Female,Divorced,4,22.0,Direct Deposit,Yes,"(95.09, 190.08]"
5450,61,19,No,67.35,40,Salary,140088.0,16.0,Manufacturing,Male,Single,4,10.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5451,51,19,No,77.06,40,Salary,160284.8,69.0,Research,Female,Divorced,2,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5452,43,2,Yes,55.15,40,Salary,114712.0,73.0,Marketing,Male,Divorced,8,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5453,59,16,Yes,33.06,40,Salary,68764.8,57.0,Manufacturing,Male,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5454,50,19,Yes,76.45,40,Salary,159016.0,3.0,Sales,Male,Divorced,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5455,30,8,Yes,23.58,40,Salary,49046.4,62.0,Healthcare,Male,Divorced,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5456,47,15,Yes,69.68,40,Salary,144934.4,80.0,Research,Female,Divorced,2,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5457,35,4,No,22.73,40,Salary,47278.4,32.0,Healthcare,Male,Divorced,4,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5458,61,16,Yes,39.17,40,Salary,81473.6,28.0,Human Resources,Male,Single,6,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5459,37,3,No,71.32,40,Salary,148345.6,33.0,Manufacturing,Female,Single,3,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5460,37,6,No,32.4,40,Salary,67392.0,94.0,Marketing,Male,Married,3,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5461,36,3,No,50.55,40,Salary,105144.0,1.0,Research,Female,Married,2,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
5462,48,7,No,40.6,40,Salary,84448.0,0.1,Information Technology,Male,Divorced,4,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5463,29,7,Yes,23.87,40,Salary,49649.6,91.0,Sales,Male,Divorced,2,20.0,Mailed Check,Yes,"(-0.85, 95.09]"
5464,36,6,Yes,58.27,40,Salary,121201.6,89.0,Information Technology,Male,Single,5,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5465,51,6,Yes,37.95,40,Salary,78936.0,67.0,Laboratory,Female,Divorced,2,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5466,50,17,No,67.66,40,Salary,140732.8,92.0,Human Resources,Female,Divorced,6,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
5467,40,9,Yes,82.27,40,Salary,171121.6,61.0,Marketing,Female,Divorced,5,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5468,44,20,No,34.56,40,Salary,72884.8,36.0,Research,Female,Divorced,1,14.0,Mailed Check,Yes,"(-0.85, 95.09]"
5469,48,18,No,90.91,40,Salary,289092.8,89.0,Human Resources,Female,Divorced,5,13.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5470,56,12,Yes,34.86,40,Salary,72508.8,28.0,Marketing,Female,Married,3,22.0,Mailed Check,Yes,"(-0.85, 95.09]"
5471,58,18,No,55.89,40,Salary,116251.2,24.0,Healthcare,Female,Single,6,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5472,30,1,Yes,30.89,40,Salary,64251.2,33.0,Healthcare,Male,Single,1,16.0,Mailed Check,Yes,"(-0.85, 95.09]"
5473,52,8,Yes,74.37,40,Salary,154689.6,70.0,Marketing,Female,Divorced,2,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
5474,39,9,Yes,29.85,40,Salary,62088.0,94.0,Healthcare,Female,Divorced,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5475,45,15,No,63.83,40,Salary,132766.4,0.1,Sales,Male,Single,5,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
5476,43,1,No,31.26,40,Salary,65020.8,73.0,Sales,Male,Divorced,7,24.0,Mailed Check,Yes,"(-0.85, 95.09]"
5477,54,20,No,77.89,40,Salary,162011.2,63.0,Research,Female,Married,5,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5478,45,15,No,67.71,40,Salary,140836.8,95.0,Healthcare,Female,Married,4,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5479,53,9,Yes,70.61,40,Salary,146868.8,70.0,Marketing,Male,Married,4,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5480,39,7,Yes,38.48,40,Salary,80038.4,39.0,Manufacturing,Female,Divorced,4,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
5481,58,13,Yes,54.7,40,Salary,113776.0,64.0,Healthcare,Male,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5482,40,6,No,94.82,40,Salary,337225.6,68.0,Sales,Male,Married,7,24.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5483,33,8,Yes,30.28,40,Salary,62774.4,7.0,Sales,Female,Divorced,1,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5484,54,6,No,57.91,40,Salary,120452.8,82.0,Healthcare,Male,Married,8,8.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5485,45,9,Yes,90.25,40,Salary,287720.0,75.0,Healthcare,Female,Married,4,21.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5486,54,14,No,34.16,40,Salary,71052.8,0.1,Manufacturing,Female,Divorced,4,23.0,Mailed Check,Yes,"(-0.85, 95.09]"
5487,38,3,No,70.98,40,Salary,147638.4,0.1,Laboratory,Female,Divorced,6,5.0,Mailed Check,Yes,"(-0.85, 95.09]"
5488,51,8,Yes,41.36,40,Salary,86028.8,31.0,Sales,Male,Single,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5489,48,20,No,79.95,40,Salary,166296.0,35.0,Manufacturing,Female,Single,1,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
5490,38,7,No,47.31,40,Salary,98404.8,29.0,Marketing,Male,Single,6,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5491,23,1,Yes,21.65,40,Salary,45032.0,72.0,Healthcare,Female,Single,3,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5492,53,17,No,71.92,40,Salary,149593.6,76.0,Laboratory,Female,Divorced,4,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5493,57,8,Yes,36.84,40,Salary,76627.2,11.0,Sales,Female,Single,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5494,61,13,No,39.04,40,Salary,81203.2,45.0,Sales,Female,Married,1,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
5495,36,1,No,61.97,40,Salary,128897.6,78.0,Sales,Male,Married,6,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5496,42,3,Yes,96.34,40,Salary,200387.2,29.0,Healthcare,Female,Married,8,21.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5497,54,11,No,32.11,40,Salary,66788.8,62.0,Sales,Male,Married,1,6.0,Mailed Check,Yes,"(-0.85, 95.09]"
5498,49,8,No,86.75,40,Salary,280440.0,6.0,Research,Female,Single,6,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5499,29,6,Yes,24.75,40,Salary,51480.0,77.0,Marketing,Female,Single,2,18.0,Mailed Check,Yes,"(-0.85, 95.09]"
5500,37,6,No,28.49,40,Salary,59259.2,68.0,Information Technology,Male,Divorced,2,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5501,51,10,Yes,56.8,40,Salary,128144.0,29.0,Sales,Male,Married,3,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5502,32,8,Yes,30.07,40,Salary,62545.6,61.0,Laboratory,Male,Divorced,1,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
5503,40,1,No,35.24,40,Salary,73299.2,49.0,Laboratory,Female,Married,9,24.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5504,36,6,No,35.27,40,Salary,73361.6,44.0,Marketing,Female,Divorced,5,11.0,Mailed Check,Yes,"(-0.85, 95.09]"
5505,44,16,Yes,83.61,40,Salary,173908.8,98.0,Sales,Female,Married,6,11.0,Direct Deposit,Yes,"(95.09, 190.08]"
5506,48,17,No,75.29,40,Salary,156603.2,64.0,Marketing,Female,Single,7,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5507,23,1,No,21.78,40,Salary,4302.4,83.0,Research,Male,Single,1,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5508,40,10,Yes,31.34,40,Salary,65287.2,28.0,Research,Male,Divorced,6,10.0,Mailed Check,Yes,"(-0.85, 95.09]"
5509,50,19,Yes,65.8,40,Salary,136864.0,5.0,Sales,Female,Single,1,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5510,31,1,No,26.42,40,Salary,54953.6,32.0,Healthcare,Female,Divorced,2,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5511,57,20,No,61.01,40,Salary,126900.8,0.1,Research,Female,Single,2,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5512,27,2,No,21.48,40,Salary,44678.4,71.0,Research,Female,Married,1,16.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5513,49,6,Yes,52.1,40,Salary,108368.0,0.1,Human Resources,Male,Married,5,9.0,Mailed Check,Yes,"(-0.85, 95.09]"
5514,59,15,No,43.15,40,Salary,89752.0,50.0,Laboratory,Female,Divorced,7,7.0,Mailed Check,Yes,"(-0.85, 95.09]"
5515,48,5,No,64.33,40,Salary,133515.2,21.0,Laboratory,Female,Single,9,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5516,37,8,Yes,85.98,40,Salary,178838.4,0.1,Sales,Female,Single,6,14.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5517,52,19,Yes,57.35,40,Salary,133288.0,25.0,Healthcare,Male,Divorced,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5518,26,3,No,22.17,40,Salary,46113.6,1.0,Marketing,Male,Divorced,2,19.0,Mailed Check,Yes,"(-0.85, 95.09]"
5519,56,5,No,38.32,40,Salary,79705.6,77.0,Sales,Female,Married,7,15.0,Direct Deposit,Yes,"(-0.85, 95.09]"
5520,43,7,Yes,35.69,40,Salary,74235.2,71.0,Human Resources,Male,Divorced,4,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5521,38,3,Yes,77.07,40,Salary,160305.6,95.0,Sales,Female,Single,2,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5522,30,1,No,27.11,40,Salary,56388.8,47.0,Sales,Male,Divorced,1,13.0,Mailed Check,Yes,"(-0.85, 95.09]"
5523,21,1,No,20.62,40,Salary,42889.6,0.1,Human Resources,Female,Married,1,21.0,Mailed Check,Yes,"(-0.85, 95.09]"
5524,32,10,Yes,25.14,40,Salary,52291.2,80.0,Manufacturing,Male,Divorced,1,25.0,Mailed Check,Yes,"(-0.85, 95.09]"
5525,25,3,No,21.69,40,Salary,45115.2,4.0,Manufacturing,Female,Single,1,15.0,Mailed Check,Yes,"(-0.85, 95.09]"
5526,31,4,Yes,27.12,40,Salary,56409.6,57.0,Marketing,Female,Married,3,8.0,Mailed Check,Yes,"(-0.85, 95.09]"
5527,40,6,No,29.43,40,Salary,61214.4,22.0,Sales,Female,Divorced,9,17.0,Mailed Check,Yes,"(-0.85, 95.09]"
5528,46,19,No,70.75,40,Salary,147160.0,84.0,Information Technology,Female,Married,8,12.0,Mailed Check,Yes,"(-0.85, 95.09]"
